Gold,Level,Minions,Jungle_minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Sight_wards,Control_wards,Gold_diff,Win
24501,8.8,315,57,11,8,6,6,1,1,1,12,2,1825,0
22676,8.8,352,67,6,2,11,5,1,0,0,16,1,-1825,1
27648,9,289,80,17,11,17,7,0,1,1,15,2,1446,1
26202,8.8,270,76,17,17,17,1,0,0,0,17,4,-1446,0
23201,8.6,293,47,9,7,9,4,0,0,1,18,1,-739,0
23940,8.6,295,80,9,7,9,4,0,1,0,19,3,739,1
25222,8.4,285,66,13,16,17,2,0,0,1,15,3,-1160,1
26382,9,263,81,17,21,13,2,0,1,0,18,5,1160,0
24355,8.8,318,79,11,4,9,2,0,0,1,13,6,1747,1
22608,8.4,258,60,9,7,11,1,0,0,0,16,3,-1747,0
25069,8,222,48,16,13,20,7,1,0,1,15,4,-5000,0
30069,8.8,322,72,20,12,16,11,2,1,0,12,1,5000,1
26231,8.8,319,52,15,14,12,4,0,0,1,20,5,1567,1
24664,9,311,64,12,11,15,4,0,1,0,21,2,-1567,0
25346,9.2,312,92,12,12,4,6,0,1,1,14,2,4877,1
20469,8.4,334,59,4,2,12,0,0,0,0,22,8,-4877,0
28100,9.4,329,84,18,9,10,7,0,2,0,15,4,5446,1
22654,8.4,278,74,10,9,18,1,0,0,0,16,0,-5446,0
24937,8.6,331,88,5,8,5,10,2,0,1,15,4,4461,1
20476,8.4,302,52,5,6,5,1,0,1,0,14,3,-4461,0
25286,9,340,76,12,14,11,3,0,1,0,23,2,1007,1
24279,8.6,302,66,11,9,12,5,0,0,1,13,4,-1007,0
24496,8.2,277,20,11,12,13,5,1,0,1,19,1,-2608,0
27104,9.2,328,95,13,12,11,7,1,1,0,14,8,2608,1
25279,8.8,255,60,11,12,23,3,0,0,1,19,7,-5292,0
30571,8.8,288,84,23,22,11,9,2,1,0,13,2,5292,1
24436,9.2,340,72,13,7,6,0,0,1,0,15,6,1063,1
23373,8.6,303,64,6,7,13,2,0,0,1,22,3,-1063,0
24909,9.2,319,76,12,9,8,3,0,0,0,18,0,1235,0
23674,8.4,266,67,8,9,12,5,0,1,1,23,5,-1235,1
22902,8.8,307,104,7,5,14,3,0,1,1,21,1,-3672,0
26574,9,341,60,14,18,7,5,1,0,0,17,2,3672,1
26510,9,325,66,11,8,13,4,1,1,1,15,5,1636,0
24874,8.6,285,82,13,12,11,3,0,1,0,13,2,-1636,1
21806,8.6,265,76,9,5,15,0,0,0,0,16,2,-7125,0
28931,9.2,312,91,15,10,9,4,3,1,1,14,4,7125,1
20574,8.2,266,48,8,5,16,1,0,0,0,15,3,-6942,0
27516,9,303,64,16,14,8,4,1,1,1,20,2,6942,1
35116,9.6,298,82,28,23,7,4,3,1,1,22,5,12716,1
22400,8,263,60,7,8,28,1,0,0,0,21,2,-12716,0
22927,8.4,269,61,10,9,13,2,0,0,0,15,3,-2571,1
25498,9,292,76,13,7,10,4,0,1,1,22,4,2571,0
24680,8.6,278,57,12,11,9,5,0,0,0,19,2,2085,0
22595,8.2,264,71,9,5,12,2,0,1,1,20,1,-2085,1
30345,9.4,338,72,20,17,8,5,1,1,0,21,4,8405,1
21940,8.6,286,48,8,7,20,2,0,0,1,10,1,-8405,0
25396,9,282,60,14,15,8,4,0,0,0,21,2,2921,1
22475,8.6,284,70,8,9,14,3,0,1,1,22,1,-2921,0
22924,8.4,249,70,10,5,10,3,0,1,1,21,1,-1865,1
24789,8.8,307,84,10,11,10,4,0,0,0,14,1,1865,0
22809,8.6,337,90,5,5,12,1,0,1,0,20,4,-3256,0
26065,9,306,62,12,13,5,5,1,0,1,12,5,3256,1
21075,8,287,60,6,7,13,2,0,1,0,17,2,-4949,0
26024,8.4,282,60,13,15,6,6,1,1,1,19,4,4949,1
25862,8.4,278,60,15,13,14,4,0,0,1,22,2,433,1
25429,8.6,279,60,14,14,15,3,0,1,0,20,2,-433,0
29010,8.8,341,72,18,14,7,7,0,1,1,13,3,7874,1
21136,8.4,266,56,7,8,18,0,0,0,0,16,5,-7874,0
24629,8.8,265,80,12,8,14,2,0,0,0,19,3,255,1
24374,9.2,279,80,14,8,12,5,0,2,1,16,5,-255,0
24059,9,317,65,8,8,7,5,0,1,0,14,4,-596,1
24655,8.8,344,84,7,5,8,5,1,0,0,25,5,596,0
24356,8.4,256,56,14,17,12,1,0,0,0,23,3,-615,0
24971,8.2,280,80,12,9,14,4,0,1,1,18,4,615,1
22099,8.4,288,87,4,4,15,2,0,0,1,22,5,-4876,0
26975,9,332,90,15,16,4,5,0,2,0,17,3,4876,1
25402,8.6,300,60,12,16,8,5,0,0,1,22,8,411,0
24991,8.8,334,68,8,14,12,5,0,2,0,18,10,-411,1
25960,8.4,252,68,14,18,17,2,0,0,1,14,5,-1087,0
27047,8.6,294,68,17,21,14,4,0,1,0,19,4,1087,1
21423,8.6,327,78,3,3,10,1,0,0,1,18,2,-2152,1
23575,9.2,335,88,10,5,3,1,0,1,0,14,6,2152,0
30927,9.4,321,100,20,18,7,8,1,2,0,11,4,9055,1
21872,8.2,259,82,7,3,20,2,0,0,1,18,1,-9055,0
27164,8.8,241,54,19,16,22,4,0,0,0,24,4,-1586,0
28750,8.8,274,77,22,13,19,4,0,1,1,18,5,1586,1
23613,8.6,271,84,12,10,6,1,0,1,1,16,3,1380,1
22233,8.6,338,76,6,6,12,1,0,0,0,18,4,-1380,0
25156,9.2,340,68,12,7,6,6,0,1,0,23,2,3438,1
21718,8.6,302,68,6,5,12,2,0,0,1,23,3,-3438,0
22774,8.6,280,68,8,3,10,6,0,0,1,15,3,134,1
22640,8.8,258,64,10,8,8,2,0,1,0,19,3,-134,0
26631,8.8,298,80,16,20,7,3,0,1,0,15,3,4875,1
21756,8.4,244,60,7,9,16,5,0,0,1,23,1,-4875,0
24468,8.6,281,64,16,14,6,1,0,1,0,18,2,2080,1
22388,8.4,312,38,6,6,16,4,0,0,0,19,3,-2080,0
24451,8.6,280,84,8,4,15,8,1,0,1,13,5,-2050,0
26501,8.8,335,68,15,14,8,5,1,1,0,19,4,2050,1
23933,8.8,364,83,7,2,10,5,0,1,1,20,1,-822,1
24755,8.8,343,72,10,13,7,3,0,0,0,17,2,822,0
21553,7.8,233,68,7,3,21,4,0,0,0,23,2,-6788,0
28341,8.8,298,71,21,15,7,4,1,1,1,16,3,6788,1
28104,9,298,80,21,21,9,3,0,2,0,15,5,4762,1
23342,8,273,64,9,10,21,3,0,0,1,16,4,-4762,0
26575,8.8,270,47,16,14,10,9,1,1,1,16,3,2943,1
23632,8.4,257,52,10,5,16,5,0,0,0,19,3,-2943,0
29236,9.4,319,84,18,12,7,8,2,1,1,20,4,7169,1
22067,8.6,248,56,7,6,18,1,0,0,0,14,2,-7169,0
25125,8.6,334,86,5,7,9,8,2,0,0,19,3,1798,1
23327,8.4,280,86,9,8,5,4,1,1,0,18,3,-1798,0
32684,8.8,260,70,29,34,8,5,0,1,0,21,3,9131,1
23553,8.4,292,77,8,6,29,7,0,0,0,16,1,-9131,0
24623,8.6,303,64,11,10,11,7,0,1,0,18,1,2041,1
22582,8.8,260,68,11,3,11,4,1,0,0,17,2,-2041,0
28159,9.4,303,90,19,11,14,7,1,1,0,28,2,3637,1
24522,8.6,238,78,14,12,19,1,0,0,0,20,4,-3637,0
22988,8.4,261,68,9,6,26,2,0,0,0,24,1,-8883,0
31871,9.4,335,80,26,12,9,8,2,0,1,22,6,8883,1
22752,9,295,60,10,5,18,1,0,1,0,22,4,-6052,1
28804,9.4,329,92,18,14,10,4,1,1,1,23,0,6052,0
27629,8.8,265,52,18,16,13,7,2,0,1,18,2,3161,1
24468,9.2,285,95,13,3,18,4,0,1,0,22,0,-3161,0
25670,9,333,68,12,2,12,5,1,1,0,21,2,1758,1
23912,8.8,271,74,12,10,12,2,0,1,0,23,1,-1758,0
26284,9,261,68,19,15,6,6,0,0,1,18,4,4002,0
22282,8.4,345,72,6,3,19,4,0,0,0,15,2,-4002,1
25809,8.8,326,79,9,9,13,5,1,0,1,18,2,521,1
25288,9,300,66,13,6,9,7,1,0,0,17,3,-521,0
30696,9,334,76,23,22,8,8,3,1,0,22,2,6949,0
23747,8.4,293,104,8,7,23,3,0,0,1,19,5,-6949,1
27118,9,287,64,18,10,17,5,1,1,0,19,5,504,1
26614,8.6,277,84,17,8,18,2,1,0,0,16,1,-504,0
22450,8.6,289,60,8,6,10,3,0,0,0,20,2,-1941,0
24391,8.8,312,80,10,11,8,3,0,1,0,19,2,1941,1
31011,9.4,320,90,24,21,9,9,2,1,1,22,1,9116,1
21895,8.2,269,57,9,2,24,7,0,0,0,23,2,-9116,0
30732,9.2,308,83,19,16,10,6,2,1,0,23,2,7221,1
23511,8.6,282,84,10,4,19,2,0,0,1,13,1,-7221,0
28769,9.2,347,68,18,12,7,4,1,1,1,19,3,6479,1
22290,8.6,319,64,7,4,18,2,0,0,0,16,2,-6479,0
27621,9,348,56,16,9,5,7,3,1,1,15,1,9304,1
18317,8,215,63,5,8,16,0,0,0,0,18,1,-9304,0
29369,8.6,273,64,22,20,29,5,0,0,0,19,2,-2325,0
31694,8.8,270,78,29,22,22,8,1,1,1,25,1,2325,1
26640,9.2,323,88,16,15,16,1,0,1,0,15,6,-2687,1
